TIMESTAMP	COST
1494862201.6	111365
1494862203.4	111395
1494862205.2	111415
1494862207.0	111395
1494862208.8	111395
1494862210.6	111405
1494862212.4	111405
1494862214.2	111400
1494862216.0	111400
1494862217.8	111395
1494862219.6	111395
1494862221.4	111385
1494862223.2	111395
1494862225.0	111400
1494862226.8	111400
1494862228.6	111405
1494862230.4	111405
1494862232.2	111400
1494862234.0	111400
1494862235.8	111390
1494862237.6	111385
1494862239.4	111375
1494862241.2	111355
1494862243.0	111355
1494862244.8	111355
1494862246.6	111370
1494862248.4	111375
1494862250.2	111375
1494862252.0	111375
1494862253.8	111365
1494862255.6	111375
1494862257.4	111375
1494862259.2	111375
1494862261.0	111375
1494862262.8	111335
1494862264.6	111345
1494862266.4	111355
1494862268.21	111350
1494862270.01	111345
1494862271.81	111340
1494862273.61	111325
1494862275.41	111325
1494862277.21	111320
1494862279.01	111320
1494862280.81	111320
1494862282.61	111315
1494862284.41	111315
1494862286.21	111315
1494862288.01	111315
1494862289.81	111315
1494862291.61	111340
1494862293.41	111335
1494862295.21	111335
1494862297.01	111330
1494862298.81	111335
1494862300.61	111335
1494862302.41	111325
1494862304.21	111330
1494862306.01	111325
1494862307.81	111325
1494862309.61	111325
1494862311.41	111325
1494862313.21	111320
1494862315.01	111315
1494862316.81	111315
1494862318.61	111320
1494862320.41	111320
1494862322.21	111305
1494862324.01	111325
1494862325.81	111330
1494862327.61	111340
1494862329.41	111340
1494862331.21	111340
1494862333.01	111340
1494862334.81	111340
1494862336.61	111345
1494862338.41	111350
1494862340.21	111345
1494862342.01	111345
1494862343.81	111350
1494862345.61	111355
1494862347.41	111355
1494862349.21	111355
1494862351.01	111365
1494862352.81	111365
1494862354.61	111365
1494862356.41	111365
1494862358.21	111355
1494862360.01	111355
1494862361.81	111360
1494862363.61	111360
1494862365.41	111360
1494862367.21	111345
1494862369.01	111350
1494862370.81	111350
1494862372.61	111355
1494862374.41	111345
1494862376.21	111350
1494862378.01	111360
1494862379.82	111375
1494862381.62	111370
1494862383.42	111370
1494862385.22	111370
1494862387.02	111380
1494862388.82	111380
1494862390.62	111385
1494862392.42	111380
1494862394.22	111380
1494862396.02	111380
1494862397.82	111385
1494862399.62	111380
1494862401.42	111385
1494862403.22	111395
1494862405.02	111380
1494862406.82	111365
1494862408.62	111365
1494862410.42	111365
1494862412.22	111375
1494862414.02	111355
1494862415.82	111355
1494862417.62	111360
1494862419.42	111365
1494862421.22	111350
1494862423.02	111355
1494862424.82	111355
1494862426.62	111350
1494862428.42	111345
1494862430.22	111335
1494862432.02	111340
1494862433.82	111345
1494862435.62	111360
1494862437.42	111365
1494862439.22	111355
