TIMESTAMP	COST
1494862217.82	111106
1494862235.83	111108
1494862253.85	111111
1494862271.87	111114
1494862289.89	111117
1494862307.91	111119
1494862325.92	111122
1494862343.94	111125
1494862361.96	111127
1494862379.98	111130
1494862398.0	111133
1494862416.01	111136
1494862434.03	111138
1494862452.05	111141
1494862470.07	111144
1494862488.08	111146
1494862506.1	111149
1494862524.12	111152
1494862542.14	111155
1494862560.16	111157
1494862578.17	111160
1494862596.19	111163
1494862614.21	111165
1494862632.23	111168
1494862650.24	111171
1494862668.26	111174
1494862686.28	111176
1494862704.3	111179
1494862722.32	111182
1494862740.33	111184
