TIMESTAMP	COST
1494862217.82	111168
1494862235.83	111151
1494862253.85	111056
1494862271.87	111060
1494862289.89	111058
1494862307.91	111065
1494862325.92	111067
1494862343.94	111088
1494862361.96	111089
1494862379.98	111108
1494862398.0	111098
1494862416.01	111091
1494862434.03	111080
1494862452.05	111073
1494862470.07	111091
1494862488.08	111081
1494862506.1	111088
1494862524.12	111090
1494862542.14	111095
1494862560.16	111106
1494862578.17	111106
1494862596.19	111108
1494862614.21	111111
1494862632.23	111114
1494862650.24	111117
1494862668.26	111119
1494862686.28	111122
1494862704.3	111125
1494862722.32	111127
1494862740.33	111130
1494862758.35	111133
1494862776.37	111136
1494862794.39	111138
1494862812.4	111141
1494862830.42	111144
1494862848.44	111146
1494862866.46	111149
1494862884.48	111152
1494862902.49	111155
1494862920.51	111157
1494862938.53	111160
1494862956.55	111163
1494862974.57	111165
1494862992.58	111168
1494863010.6	111171
1494863028.62	111174
1494863046.64	111176
1494863064.65	111179
1494863082.67	111182
1494863100.69	111184
